Pupigpalluq Mekelghiiq Nulightulghii

pupigpalluq	pupig-palluq[N→N][N][Abs][Unpd][Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	Ungipagh-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	Ungipagh-agh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-~:(ng₁)u[V→V]-~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-~:(ng₁)u[V→V]-~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	Ungipagh-agh[N→V]-~:(ng₁)u[V→V]-te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]

------------------------


------------------------
Eltughaghhaa taana pupigllak quunpeng kuumgaqelghii, "g-g-g, g-g-g."

eltughaghhaa	elte-te[V→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
eltughaghhaa	elte-te[V→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-–ghhagh*[N→N][N][Abs][3SgPoss][SgPosd]
eltughaghhaa	eltughagh*-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
eltughaghhaa	eltughagh*-–ghhagh*[N→N][N][Abs][3SgPoss][SgPosd]
eltughaghhaa	eltugh-aq[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
eltughaghhaa	eltugh-aq[V→N]-–ghhagh*[N→N][N][Abs][3SgPoss][SgPosd]

taana	taane[V][Intr][Intrg][3Sg]
taana	taana

