AYUMIIM MANGTEGHASQWAAGHILLU MANGTEGHAPIGILLU

ayumiim	ayumigh*[N][Rel][Unpd][Sg]
piiqegkangit	paaw-––iqe[N→V][V][Trns][Ptcp][3Pl][3Pl]
piiqegkangit	puug-––iqe[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3PlPoss][PlPosd]
piiqegkangit	puug-––iqe[V→V][V][Trns][Ptcp][3Du][3Sg]
piiqegkangit	puug-––iqe[V→V][V][Trns][Ptcp][3Pl][3Pl]

kiigmi	kii[N][Rel][4SgPoss][DuPosd]
kiigmi	kiig[N][Abs][Unpd][Sg]-mi[Encl]
kiigmi	kiig[N][Loc][Unpd][Sg]
kiigmi	kiig[N][Rel][4SgPoss][PlPosd]
kiigmi	kiig[N][Rel][4SgPoss][SgPosd]

nayuput	na-@₁~:(u)te[V→V]-@₁~f–yu[V→V]-@₁~:(u)n[V→N][N][Abs][1PlPoss][PlPosd]
nayuput	na-@₁~:(u)te[V→V]-@₁~f–yu[V→N][N][Abs][1PlPoss][PlPosd]
nayuput	na-@₁~f–yu[V→V]-@₁~:(u)n[V→N][N][Abs][1PlPoss][PlPosd]
nayuput	na-@₁~f–yu[V→N][N][Abs][1PlPoss][PlPosd]
nayuput	na-~:(u)te[V→V]-@₁~f–yu[V→V]-@₁~:(u)n[V→N][N][Abs][1PlPoss][PlPosd]
nayuput	na-~:(u)te[V→V]-@₁~f–yu[V→N][N][Abs][1PlPoss][PlPosd]
nayuput	nayugh[N][Abs][1PlPoss][PlPosd]

------------------------


------------------------
Aghhneghani ungaviges taakut, taghnughhaatlu taghtuquunneghata, iikluki uteghmun petugaqut.

aghhneghani	aw-–ghte[N→V]-@₁~f–neq[V→N]-–ghagh*[N→N][N][Abs][4SgPoss][SgPosd]
aghhneghani	aw-–ghte[N→V]-@₁~f–neq[V→N]-–ghagh*[N→N][N][Abs][4SgPoss][PlPosd]
aghhneghani	aw-–ghte[N→V]-@₁~neq[V→N]-–ghagh*[N→N][N][Abs][4SgPoss][SgPosd]
aghhneghani	aw-–ghte[N→V]-@₁~neq[V→N]-–ghagh*[N→N][N][Abs][4SgPoss][PlPosd]
aghhneghani	aw-–ghte[N→V]-@₁–negh[V→N]-–ghagh*[N→N][N][Abs][4SgPoss][SgPosd]
aghhneghani	aw-–ghte[N→V]-@₁–negh[V→N]-–ghagh*[N→N][N][Abs][4SgPoss][PlPosd]
aghhneghani	aw-–ghte[N→V]-@₁–negh[V→N][N][Loc][3SgPoss][SgPosd]
aghhneghani	aw-–ghte[N→V]-@₁–negh[V→N][N][Loc][3SgPoss][PlPosd]
aghhneghani	aghte-@₁~f–neq[V→N]-–ghagh*[N→N][N][Abs][4SgPoss][SgPosd]
aghhneghani	aghte-@₁~f–neq[V→N]-–ghagh*[N→N][N][Abs][4SgPoss][PlPosd]
aghhneghani	aghte-@₁~neq[V→N]-–ghagh*[N→N][N][Abs][4SgPoss][SgPosd]
aghhneghani	aghte-@₁~neq[V→N]-–ghagh*[N→N][N][Abs][4SgPoss][PlPosd]
aghhneghani	aghte-@₁–negh[V→N]-–ghagh*[N→N][N][Abs][4SgPoss][SgPosd]
aghhneghani	aghte-@₁–negh[V→N]-–ghagh*[N→N][N][Abs][4SgPoss][PlPosd]
aghhneghani	aghte-@₁–negh[V→N][N][Loc][3SgPoss][SgPosd]
aghhneghani	aghte-@₁–negh[V→N][N][Loc][3SgPoss][PlPosd]

