Ayngaghlingaawetenkuk, Qilakaghiilaankuk

------------------------
Puughhutem Ungipaghaa

puughhutem	puughhe-~:(u)te[V→N][N][Rel][Unpd][Sg]
pinitun	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-@₁~:(u)te[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
pinitun	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-~:(u)te[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
pinitun	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-–tu[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
pinitun	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-–tu[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
pinitun	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-te[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
pinitun	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-tu[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
pinitun	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-tu[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
pinitun	pi-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-@₁~:(u)n[V→N]-–tu[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
pinitun	pi-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-@₁~:(u)n[V→N]-–tu[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
pinitun	pi-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-@₁~:(u)te[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
pinitun	pi-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-~:(u)te[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
