Vuvallanga Ayapeghyugem (1)

------------------------
(1) Ayapeghyugnguq taana Avatmiit pikaat, Walangankut Kepelgunkut saknaaghat.

ayapeghyugnguq	ayapegh-@₁~fyug[V→V]-@*ngugh*[V→N][N][Abs][Unpd][Sg]

taana	taane[V][Intr][Intrg][3Sg]
taana	taana

avatmiit	Avate-~fmii[N→N][N][Abs][Unpd][Pl]
avatmiit	Avate-~fmii[N→N][N][Rel][Unpd][Pl]
avatmiit	Avatmii(t)[N][Abs][Unpd][Pl]
avatmiit	Avatmii(t)[N][Rel][Unpd][Pl]

------------------------


	

------------------------
Vuvallam sanqutangi sivuliq qalik, signeghet, qaltaghwaaghek, aghqusighhaak tughneghaghnun, saguyak, tagnelghii nanighhaq kumangalghii.

vuvallam	vuvalla[N][Rel][Unpd][Sg]
kelgutaquq	keleg-~:(ng₁)u[V→V]-te[V→V]-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]
kelgutaquq	keleg-~:(u)te[V→V]-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]
kelgutaquq	keleg-~:(u)ta[V→N]-qe[N→V][V][Intr][Ind][3Sg]
kelgutaquq	kelgute-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]

mumeghmeng	mumegh[N][Abl_Mod][Unpd][Sg]
mumeghmeng	mumegh[N][Rel][4DuPoss][PlPosd]
mumeghmeng	mumegh[N][Rel][4DuPoss][SgPosd]
mumeghmeng	mumegh[N][Rel][4PlPoss][PlPosd]
mumeghmeng	mumegh[N][Rel][4PlPoss][SgPosd]

tugumiighluni	tugumiigh-––igh[N→V][V][Intr][Sbrd][3Sg]

nalighmeng	naligh*[N][Abl_Mod][Unpd][Sg]
nalighmeng	naligh*[N][Rel][4DuPoss][PlPosd]
nalighmeng	naligh*[N][Rel][4DuPoss][SgPosd]
nalighmeng	naligh*[N][Rel][4PlPoss][PlPosd]
nalighmeng	naligh*[N][Rel][4PlPoss][SgPosd]
nalighmeng	nalighmeng
nalighmeng	nalighmeng[N][Abs][Unpd][Sg]

aquutameng	aquutagh[N][Abl_Mod][Unpd][Sg]
aquutameng	aquutagh[N][Rel][4DuPoss][PlPosd]
aquutameng	aquutagh[N][Rel][4DuPoss][SgPosd]
aquutameng	aquutagh[N][Rel][4PlPoss][PlPosd]
aquutameng	aquutagh[N][Rel][4PlPoss][SgPosd]

------------------------
Araghaquq, "Wu-huu-huu-huu-uu, wu-huu-huu-huu-uu, wu-huu-uu, wu-huu-uu!" (2)

araghaquq	aragh-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]
araghaquq	aragh-aq[V→N]-~–ke[N→V][V][Intr][Ind][3Sg]

------------------------
(2) Qalghiilleq, aviilleq Kiyaghneghmun ayumiq aleghquneghmeggni tawaten aviigaqut.

qalghiilleq	qalghigh-~:(ng₁)u[V→V]-–lleq[V→N][N][Abs][Unpd][Sg]

aviilleq	aveg-––i[N→V]-ugh[V→V]-–lleq[V→N][N][Abs][Unpd][Sg]
aviilleq	aveg-––ii[N→V]-–lleq[V→N][N][Abs][Unpd][Sg]
aviilleq	aveg-––iigh[N→V]-–lleq[V→N][N][Abs][Unpd][Sg]
aviilleq	aveg-––igh[N→V]-~:(ng₁)u[V→V]-–lleq[V→N][N][Abs][Unpd][Sg]
aviilleq	avii-–lleq[V→N][N][Abs][Unpd][Sg]
aviilleq	aviigh-–lleq[V→N][N][Abs][Unpd][Sg]
