Siingvallagha

siingvallagha	siingvallagha[V][Intr][Opt][PRS][2Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
pimakanga	pi-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]

------------------------
"Siingvallaghangigatut, men ayghighllequq."

siingvallaghangigatut	siingvallagha-@₁~:(u)n[V→N]-–nge[N→V]-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Pl]
siingvallaghangigatut	siingvallagha-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Pl]

men	me[N][Abs][2SgPoss][SgPosd]

ayghighllequq	ayghigh-–ghte[V→V]-@₁lleqe[V→V][V][Intr][Ind][3Sg]
ayghighllequq	ayghigh-te[V→V]-@₁lleqe[V→V][V][Intr][Ind][3Sg]
ayghighllequq	ayghigh-@₁lleqe[V→V][V][Intr][Ind][3Sg]

------------------------
